eas baseid,cnn,address,zipcode,longitude,latitude,assemdist,bartdist,congdist,nhood,prec_2010,prec_2012,supdist,tractce10,number,number suffix,street,type
345800,5322000,484 EUREKA ST,94114,-122.43787429,37.75449058,17,9,12,Noe Valley,3838,7838,8,021200,484,,EUREKA,ST
347470,5148000,633 ELIZABETH ST,94114,-122.43496083,37.75180124,17,9,12,Noe Valley,3839,7846,8,021200,633,,ELIZABETH,ST
348100,10077000,230 PACHECO ST,94116,-122.46164571,37.74698407,19,8,14,West of Twin Peaks,2715,9715,7,030400,230,,PACHECO,ST
419354,9378000,57 MORNINGSIDE DR,94132,-122.49259947,37.73275054,19,8,14,Sunset/Parkside,2729,9724,7,033100,57,,MORNINGSIDE,DR
419374,9379000,111 MORNINGSIDE DR,94132,-122.49251396,37.73150363,19,8,14,Sunset/Parkside,2729,9724,7,033100,111,,MORNINGSIDE,DR
366924,779000,1717 17TH ST,94107,,,,,,,,,,,1717,,17TH,ST
279719,7385000,915 JACKSON ST,94108,-122.41025959,37.79540824,17,8,12,Chinatown,3325,7326,3,011300,915,,JACKSON,ST
283899,6520000,2389 GREENWICH ST,94123,-122.43886532,37.79838366,19,8,12,Marina,3216,9216,2,012800,2389,,GREENWICH,ST
304679,1578000,474 28TH AVE,94121,-122.48765755,37.78051224,19,8,12,Outer Richmond,2104,9104,1,042700,474,,28TH,AVE
304942,1764000,470 35TH AVE,94121,-122.49516692,37.78022972,19,8,12,Outer Richmond,2101,9102,1,047802,470,,35TH,AVE
331554,2029000,2147 46TH AVE,94116,-122.50528155,37.74645613,19,8,12,Sunset/Parkside,2428,9434,4,035400,2147,,46TH,AVE
331586,2052000,2134 47TH AVE,94116,-122.50571107,37.74664339,19,8,12,Sunset/Parkside,2428,9434,4,035400,2134,,47TH,AVE
331667,1985000,2183 44TH AVE,94116,-122.50302953,37.74593706,19,8,12,Sunset/Parkside,2436,9435,4,035400,2183,,44TH,AVE
331800,1963000,2122 43RD AVE,94116,-122.50147105,37.74703759,19,8,12,Sunset/Parkside,2436,9435,4,035300,2122,,43RD,AVE
337795,12795000,1708 ULLOA ST,94116,-122.47479615,37.74146671,19,8,12,West of Twin Peaks,2723,9716,7,030800,1708,,ULLOA,ST
338713,1627000,2582 29TH AVE,94116,-122.48588889,37.73921468,19,8,12,Sunset/Parkside,2445,9446,4,033000,2582,,29TH,AVE
338720,1627000,2554 29TH AVE,94116,-122.48587275,37.73969674,19,8,12,Sunset/Parkside,2445,9446,4,033000,2554,,29TH,AVE
338880,1720000,2562 32ND AVE,94116,-122.48907689,37.73941148,19,8,12,Sunset/Parkside,2444,9445,4,033000,2562,,32ND,AVE
